Date,US,JP,WORLD
2008-04-30,98.72119140625,,37.66691207885742
2008-05-31,100.21350860595703,,37.9923095703125
2008-06-30,91.8381118774414,,34.95772171020508
2008-07-31,91.01287078857422,,33.85424041748047
2008-08-31,92.41936492919922,,33.288360595703125
2008-09-30,83.71587371826172,,29.206884384155273
2008-10-31,69.88712310791016,,23.830957412719727
2008-11-30,65.02254486083984,,21.744243621826172
2008-12-31,65.6595458984375,,22.932607650756836
2009-01-31,60.2679443359375,53.85968627929689,20.32244300842285
2009-02-28,53.79221725463867,51.209753417968756,18.348913192749023
2009-03-31,58.27363586425781,52.799713134765625,20.039508819580078
2009-04-30,64.06297302246094,57.37083129882813,22.60015106201172
2009-05-31,67.80762481689453,61.080731201171886,24.96980857849121
2009-06-30,67.76322937011719,63.333160400390625,24.590824127197266
2009-07-31,72.81878662109375,63.333160400390625,26.908029556274414
2009-08-31,75.5086441040039,64.525634765625,27.706579208374023
2009-09-30,78.18596649169922,61.014477539062504,29.054105758666992
2009-10-31,76.68281555175781,60.15325317382813,28.269826889038086
2009-11-30,81.4070053100586,56.64210205078126,29.795616149902344
2009-12-31,82.96195220947266,61.014477539062504,30.35399055480957
2010-01-31,79.9469223022461,60.68323974609376,28.7462100982666
2010-02-28,82.44081115722656,60.15325317382813,29.370656967163086
2010-03-31,87.45979309082031,66.51306762695313,31.229642868041992
2010-04-30,88.81280517578125,66.84429931640625,31.157873153686523
2010-05-31,81.75624084472656,59.755767822265625,28.23659896850586
2010-06-30,77.52610778808594,57.172094726562506,27.23188591003418
2010-07-31,82.8211669921875,56.90709838867188,29.774015426635742
2010-08-31,79.09584045410156,53.66094360351563,28.49932289123535
2010-09-30,86.1792221069336,55.714630126953125,31.294937133789062
2010-10-31,89.47146606445312,54.38967285156251,32.468223571777344
2010-11-30,89.47146606445312,58.03331909179688,31.758466720581055
2010-12-31,95.45282745361328,60.48450317382813,34.233131408691406
2011-01-31,97.6769027709961,61.34570922851563,34.59880065917969
2011-02-28,101.06991577148438,63.92938842773439,35.67383575439453
2011-03-31,101.08204650878906,58.960791015625006,35.3666877746582
2011-04-30,104.00955963134766,57.834576416015636,37.07065963745117
2011-05-31,102.84317779541016,57.23833618164063,36.34666061401367
2011-06-30,101.10816955566406,57.900811767578126,35.706581115722656
2011-07-31,99.08558654785156,56.045874023437506,34.89254379272461
2011-08-31,93.63829040527344,51.34226074218751,32.32463073730469
2011-09-30,87.13782501220703,51.14351501464845,28.9500789642334
2011-10-31,96.64871215820312,51.474761962890625,32.22842788696289
2011-11-30,96.25592803955078,49.02357788085938,31.858413696289062
2011-12-31,97.26167297363281,49.02357788085938,31.555654525756836
2012-01-31,101.7720947265625,50.613534545898446,33.28421401977539
2012-02-29,106.18960571289062,56.11211547851563,34.93046951293945
2012-03-31,109.60506439208984,57.900811767578126,35.319580078125
2012-04-30,108.87334442138672,54.65466308593751,34.91550064086914
2012-05-31,102.33484649658203,48.69234313964845,31.675378799438477
2012-06-30,106.48773193359375,52.53473510742189,33.282047271728516
2012-07-31,107.7474136352539,49.15607604980469,33.55516052246094
2012-08-31,110.4468002319336,48.824832153320315,34.48830795288086
2012-09-30,113.24677276611328,49.752301025390636,35.42142868041992
2012-10-31,111.18579864501953,50.01729736328126,35.2393684387207
2012-11-30,111.81513977050781,52.6009765625,35.80077362060547
2012-12-31,112.81411743164062,58.03331909179688,36.84047317504883
2013-01-31,118.58914184570312,63.39940795898438,38.227359771728516
2013-02-28,120.10221862792969,65.65184326171875,38.18904113769531
2013-03-31,124.66259765625,70.55420532226563,38.886322021484375
2013-04-30,127.05766296386719,79.16644287109375,39.98968505859375
2013-05-31,130.0574493408203,79.49768676757813,39.83644485473633
2013-06-30,128.32188415527344,77.37775878906251,38.800010681152344
2013-07-31,134.95310974121094,76.954345703125,40.577056884765625
2013-08-31,130.9055938720703,75.203857421875,39.64585494995117
2013-09-30,135.04830932617188,81.86918334960939,41.8419303894043
2013-10-31,141.30194091796875,81.93651733398438,43.49481964111328
2013-11-30,145.4897918701172,86.31275634765628,44.1699333190918
2013-12-31,149.26185607910156,89.40977172851564,45.08390808105469
2014-01-31,144.00067138671875,83.68700561523438,42.99480056762695
2014-02-28,150.5548858642578,83.08106689453126,45.232566833496094
2014-03-31,151.8038330078125,83.28304443359377,45.49077606201172
2014-04-30,152.85914611816406,80.65731201171877,46.03064727783203
2014-05-31,156.4064483642578,83.08106689453126,46.95392990112305
2014-06-30,159.63540649414062,87.65928955078125,47.807647705078125
2014-07-31,157.4902801513672,89.49346923828125,47.117435455322266
2014-08-31,163.70541381835938,88.60400390625001,48.33127212524414
2014-09-30,161.4468994140625,92.57236328125002,46.72868728637695
2014-10-31,165.24908447265625,93.25657958984377,47.29196548461914
2014-11-30,169.7888641357422,98.59335327148438,47.94252014160156
2014-12-31,169.358154296875,98.66174926757814,46.81220245361328
2015-01-31,164.34014892578125,99.00385284423828,46.1960334777832
2015-02-28,173.57687377929688,106.73533630371095,48.740692138671875
2015-03-31,170.85072326660156,108.7879409790039,48.02851104736328
2015-04-30,172.5308380126953,112.20893859863281,49.40486145019531
2015-05-31,174.7489776611328,117.81939697265626,49.40486145019531
2015-06-30,171.19943237304688,115.0141372680664,48.13104248046875
2015-07-31,175.06671142578125,134.66213989257812,48.52774429321289
2015-08-31,164.3963623046875,124.60435485839845,45.22455596923828
2015-09-30,160.20162963867188,115.42469787597656,43.67012023925781
2015-10-31,173.8282928466797,127.47801971435548,47.01378631591797
2015-11-30,174.46368408203125,129.39378356933594,46.76280975341797
2015-12-31,171.4485321044922,126.8394012451172,45.7780876159668
2016-01-31,162.91262817382812,117.89920806884766,43.350589752197266
2016-02-29,162.7781524658203,106.48445129394531,42.809322357177734
2016-03-31,173.72755432128906,111.51332092285158,45.97492599487305
2016-04-30,174.41224670410156,110.8747329711914,46.589996337890625
2016-05-31,177.3793182373047,114.06768035888673,46.745819091796875
2016-06-30,177.9958038330078,103.37134552001955,46.72258758544922
2016-07-31,184.487548828125,109.56069183349611,48.48413848876953
2016-08-31,184.70851135253906,110.21382141113281,48.65032196044922
2016-09-30,184.71922302246094,110.45875549316406,49.10732650756836
2016-10-31,181.5167236328125,116.66336822509766,48.168399810791016
2016-11-30,188.20352172851562,122.78636932373047,48.666927337646484
2016-12-31,192.01878356933594,127.03165435791016,49.62192153930664
2017-01-31,195.4548797607422,127.43981933593751,51.06437301635742
2017-02-28,203.1345672607422,128.66444396972656,52.34748840332031
2017-03-31,203.38845825195312,127.76639556884767,53.051937103271484
2017-04-30,205.40736389160156,129.48085021972656,53.9073371887207
2017-05-31,208.30625915527344,132.41986083984375,55.09819030761719
2017-06-30,209.63418579101562,136.3385772705078,55.531883239746094
2017-07-31,213.94305419921875,136.96005249023438,57.04970169067383
2017-08-31,214.56723022460938,136.96005249023438,57.27865982055664
2017-09-30,218.8907012939453,142.8499298095703,58.355533599853516
2017-10-31,224.0486297607422,150.64776611328125,59.61049270629883
2017-11-30,230.89686584472656,153.13644409179688,60.8145751953125
2017-12-31,233.69712829589844,155.1273956298828,61.69660949707031
2018-01-31,246.8681640625,156.95242309570312,65.21406555175781
2018-02-28,237.89199829101562,151.14552307128906,62.29570007324219
2018-03-31,231.37115478515625,148.07615661621094,61.36281967163086
2018-04-30,232.5669403076172,153.38531494140625,61.611019134521484
2018-05-31,238.22039794921875,150.7307586669922,61.90201950073242
2018-06-30,239.59043884277344,149.48638916015625,61.539695739746094
2018-07-31,248.46641540527344,151.45791625976562,63.426029205322266
2018-08-31,256.3973693847656,149.85386657714844,63.8673210144043
2018-09-30,257.9217834472656,158.38076782226562,64.2567138671875
2018-10-31,240.09832763671875,143.35317993164062,59.48029327392578
2018-11-30,244.55197143554688,145.2104949951172,60.423484802246094
2018-12-31,223.01956176757812,130.60501098632812,56.066856384277344
2019-01-31,240.87579345703125,136.85244750976562,60.57596969604492
2019-02-28,248.68386840820312,140.31385803222656,62.07025909423828
2019-03-31,253.18521118164062,140.22946166992188,63.04899597167969
2019-04-30,263.5284729003906,142.59332275390625,65.20742797851562
2019-05-31,246.72299194335938,133.4754638671875,61.24884033203125
2019-06-30,263.8915710449219,137.19017028808594,65.22415924072266
2019-07-31,267.8814697265625,138.35443115234375,65.26840209960938
2019-08-31,263.3962707519531,133.7856903076172,63.82604217529297
2019-09-30,268.5212707519531,141.63009643554688,65.2595443725586
2019-10-31,274.45684814453125,148.6124725341797,67.04698944091797
2019-11-30,284.3916931152344,151.45713806152344,68.61322784423828
2019-12-31,292.65484619140625,153.6984100341797,70.974853515625
2020-01-31,292.5367431640625,150.59510803222656,69.95389556884766
