配分,方法,年率リターン,年率リスク,シャープ,最大下落,売買回数/年
WORLD80JP20,none,0.1545677076568177,0.16454713804189078,0.9462999146055957,-0.2398771695878128,0.0
WORLD80JP20,annual,0.15441385846237687,0.16290503001892231,0.9533638931828164,-0.2392932007810622,0.9622641509433961
WORLD80JP20,quarterly,0.154179262419873,0.1628374531108794,0.9524292829955366,-0.2371509045511444,4.018867924528301
WORLD80JP20,monthly,0.15431223170574793,0.16276974880855694,0.9534728337760562,-0.23730143833205364,12.0
WORLD80JP20,band,0.1539537400360529,0.1634261382854507,0.9483794322819418,-0.23572736626117075,0.056603773584905655
WORLD50JP50,none,0.14486443412897265,0.15759359013816632,0.9267727332280009,-0.238020127372092,0.0
WORLD50JP50,annual,0.14441579156461493,0.15668684156870616,0.9286577013124929,-0.23760882323630095,0.9622641509433961
WORLD50JP50,quarterly,0.14404005764403238,0.15657403183392613,0.9271090788668185,-0.23426646157101794,4.018867924528301
WORLD50JP50,monthly,0.14423507845739736,0.1564804251820478,0.9286679135050137,-0.23448853986829243,12.0
WORLD50JP50,band,0.1436029979745963,0.15665806845510746,0.9242360789050589,-0.2308451427198258,0.16981132075471697
