,開始,年率リターン,年率リスク,シャープ,最大下落,最長含み損(年),最悪12ヶ月,10年_最悪,10年_中央,10年_最良,10年_マイナス率,15年_最悪,15年_中央,15年_最良,15年_マイナス率
US,2008-05,0.14301740861697398,0.1853080525361348,0.804247933853709,-0.5025177529048297,4.583333333333333,-0.3869510236706744,0.09378362617772512,0.16677429897830245,0.212314229172808,0.0,0.11686229554572762,0.18357451263578983,0.21261949439063133,0.0
JP,2009-02,0.12482596018746883,0.16206185382556673,0.7950514093872053,-0.27155605503839875,2.8333333333333335,-0.18948505309755154,0.06679597964839983,0.1097935383058609,0.14928867104716298,0.0,0.09795173266594545,0.11540130338599322,0.15283620628809885,0.0
WORLD,2008-05,0.10620411269001795,0.18742020468194912,0.6220875105145416,-0.5523904893946661,4.916666666666667,-0.43311985079267085,0.05323935972019819,0.1259079859846773,0.18183559694550777,0.0,0.07625795954241912,0.1399402927566254,0.17564346676319237,0.0
UST,2008-05,0.048062245275322324,0.08295976349707468,0.5758577276903882,-0.14636970621459333,3.9166666666666665,-0.10820862438816761,0.023764739619742122,0.051387158195151716,0.07350377899217238,0.0,0.045984853152398475,0.0583942274378552,0.07001006152811401,0.0
AGG,2008-05,0.048638939961016536,0.08117081503443539,0.5933656787040905,-0.14615030192898126,4.25,-0.126247173569515,0.030416970526307385,0.0539336822228109,0.07296278431753755,0.0,0.044563830896230526,0.05924531570482809,0.07144998564014131,0.0
WORLD80JP20,2009-02,0.15441385846237687,0.16290503001892231,0.9533638931828164,-0.2392932007810622,2.5833333333333335,-0.1762858517213823,0.07447707525332514,0.12665002108183163,0.1756457495815345,0.0,0.11729206128583336,0.14072083307148436,0.1718980721362891,0.0
WORLD50JP50,2009-02,0.14441579156461493,0.15668684156870616,0.9286577013124929,-0.23760882323630095,2.6666666666666665,-0.17913977485236995,0.07240556126039449,0.12238102328424999,0.16607066067913412,0.0,0.1107833737000202,0.13165597931341147,0.16542870444100785,0.0
