,期間,現地通貨 年率,為替 年率,円建て 年率,現地通貨 リスク,円建て リスク,株と為替の相関
US,2008-05〜2026-09,0.11809846557735182,0.02228689494422542,0.14301740861697398,0.15626564278593544,0.1853080525361348,0.027417303022758854
WORLD,2008-05〜2026-09,0.0820877369756079,0.02228689494422542,0.10620411269001795,0.1650353047991453,0.18742020468194912,-0.02926819307371192
UST,2008-05〜2026-09,0.025213421455924312,0.02228689494422542,0.048062245275322324,0.06693136696713757,0.08295976349707468,-0.5299049481195962
AGG,2008-05〜2026-09,0.02577754361042528,0.02228689494422542,0.048638939961016536,0.046857403026634645,0.08117081503443539,-0.5374164617943992
