配分,方法,窓の数,買いっぱなしに勝った割合,シャープ差_中央,シャープ差_最小,シャープ差_最大
WORLD80JP20,annual,93,1.0,0.004435198711200572,0.00028048255391999177,0.0072243806395835275
WORLD80JP20,quarterly,93,1.0,0.003780503919328937,0.001178928331013851,0.00799507616332229
WORLD80JP20,monthly,93,1.0,0.004889359219049094,0.0025717387320203233,0.009725485590629468
WORLD80JP20,band,93,0.25806451612903225,0.0,0.0,0.008925650651674721
WORLD50JP50,annual,93,0.989247311827957,0.005598843028513878,-0.0020748225201959736,0.009330942533342657
WORLD50JP50,quarterly,93,0.989247311827957,0.005753092415581085,-0.0009633679785453486,0.008851981045931323
WORLD50JP50,monthly,93,1.0,0.007292545452932564,0.00027294677947731216,0.011587567638513097
WORLD50JP50,band,93,0.6559139784946236,0.002113728298326234,-0.003180401526586496,0.010384778585893595
