,開始,年率リターン,年率リスク,シャープ,最大下落,最長含み損(年),最悪12ヶ月,10年_最悪,10年_中央,10年_最良,10年_マイナス率,15年_最悪,15年_中央,15年_最良,15年_マイナス率
US,2008-05,0.14301740861697398,0.18530809248484953,0.8042478044679258,-0.5025176065984485,4.583333333333333,-0.3869510682808948,0.09378368486821127,0.16677430123801595,0.21231421966317873,0.0,0.11686228413404944,0.18357452901711596,0.21261953685921994,0.0
US_H,2008-05,0.09536007123728196,0.15505925185445804,0.6510419351404784,-0.47055935662062276,2.8333333333333335,-0.36124344638823447,0.08570017472023037,0.11173479704988863,0.16096735841565585,0.0,0.08030218182796506,0.11730232027223082,0.1408462051315177,0.0
JP,2009-02,0.12482596018746883,0.16206181341220283,0.7950515686116854,-0.2715560093836864,2.8333333333333335,-0.18948520446318765,0.06679601845680223,0.10979355041801694,0.1492886540823522,0.0,0.0979517408927059,0.11540128566054798,0.15283620628809885,0.0
WORLD,2008-05,0.10620414310547077,0.18742023859137827,0.6220875799684705,-0.5523903963376682,4.916666666666667,-0.4331196115822314,0.053239359720198054,0.12590799784975332,0.1818355776471561,0.0,0.07625795954241897,0.13994029564255311,0.1756434925819118,0.0
WORLD_H,2008-05,0.06139049658561335,0.16489006742396065,0.42994393496152433,-0.5237497987327138,4.75,-0.40954631030023586,0.04635192413186885,0.07572336768843815,0.1252565617284297,0.0,0.04177136312040786,0.07875278680135174,0.10580304412715802,0.0
WORLD80JP20,2009-02,0.15441386212462138,0.16290505043402703,0.9533638146496425,-0.2392934244065653,2.5833333333333335,-0.1762859668282864,0.07447707650055121,0.12665003510929673,0.17564572991704372,0.0,0.11729205874388886,0.14072083295088292,0.17189809071321804,0.0
WORLD50JP50,2009-02,0.14441579256604942,0.15668682755220975,0.928657775745177,-0.23760894166522595,2.6666666666666665,-0.17913987988017946,0.07240557767429082,0.12238100330990495,0.16607064120341553,0.0,0.11078337467643573,0.13165595989321122,0.16542871321571045,0.0
