配分,方法,窓の数,買いっぱなしに勝った割合,シャープ差_中央,シャープ差_最小,シャープ差_最大
WORLD80JP20,annual,93,0.15053763440860216,-0.0325744201716367,-0.06564854039922707,0.007224388727746778
WORLD80JP20,quarterly,93,0.21505376344086022,-0.012154836793287438,-0.47630472589570927,0.009239072510456525
WORLD80JP20,monthly,93,0.3548387096774194,-0.007571099164455253,-0.47257969075914175,0.014213336026918655
WORLD80JP20,band,93,0.7419354838709677,0.003366009594771846,-0.47619825442335084,0.01645888938984863
WORLD50JP50,annual,93,0.13978494623655913,-0.0663950621657402,-0.11331502877348498,0.008077368989961364
WORLD50JP50,quarterly,93,0.13978494623655913,-0.028567903732786837,-0.24892372454686468,0.008852006815620594
WORLD50JP50,monthly,93,0.16129032258064516,-0.020799327652476274,-0.24685416775396157,0.011587609090329964
WORLD50JP50,band,93,0.13978494623655913,-0.008836154223404669,-0.24745720275719352,0.019184482531072022
