,期間,現地通貨 年率,為替 年率,円建て 年率,現地通貨 リスク,円建て リスク,株と為替の相関
US,2008-05〜2026-09,0.11809846088545384,0.02271092765012761,0.14349151413634265,0.1562656276034927,0.1810565433734691,-0.005241164261046309
WORLD,2008-05〜2026-09,0.08208775482702513,0.02271092765012761,0.10666297153799076,0.1650352643025799,0.1829641553358485,-0.06464135156873688
