日本株,米国株,為替,日本比率,20年後の倍率,最善比
崩壊,崩壊,横ばい,0.0,0.27100615078821383,0.999999999999999
崩壊,崩壊,横ばい,0.1,0.2710061507882134,0.9999999999999973
崩壊,崩壊,横ばい,0.2,0.2710061507882141,1.0
崩壊,崩壊,横ばい,0.3,0.27100615078821316,0.9999999999999966
崩壊,崩壊,横ばい,0.5,0.27100615078821383,0.999999999999999
崩壊,崩壊,横ばい,1.0,0.27100615078821383,0.999999999999999
崩壊,崩壊,円高2%/年,0.0,0.18092586666087324,0.6676079717550889
崩壊,崩壊,円高2%/年,0.1,0.18845553768292275,0.6953921050677451
崩壊,崩壊,円高2%/年,0.2,0.1962822900981355,0.7242724548031619
崩壊,崩壊,円高2%/年,0.3,0.20441720534558028,0.7542899109523475
崩壊,崩壊,円高2%/年,0.5,0.22165781086120032,0.8179069375972271
崩壊,崩壊,円高2%/年,1.0,0.27100615078821383,1.0
崩壊,崩壊,円安2%/年,0.0,0.40270088405786847,1.0
崩壊,崩壊,円安2%/年,0.1,0.3871994286565513,0.9615062791888742
崩壊,崩壊,円安2%/年,0.2,0.3722659433694023,0.9244229603327797
崩壊,崩壊,円安2%/年,0.3,0.3578806749473047,0.8887009915177562
崩壊,崩壊,円安2%/年,0.5,0.3306790059564169,0.8211529178289513
崩壊,崩壊,円安2%/年,1.0,0.27100615078821383,0.6729713331080495
崩壊,一進一退,横ばい,0.0,2.198931447539137,1.0
崩壊,一進一退,横ばい,0.1,1.884331466033243,0.8569305187490187
崩壊,一進一退,横ばい,0.2,1.5966281741519692,0.7260927465195808
崩壊,一進一退,横ばい,0.3,1.3374268674665035,0.6082167176986084
崩壊,一進一退,横ばい,0.5,0.9056243762798739,0.41184748041753383
崩壊,一進一退,横ばい,1.0,0.27100615078821383,0.12324447453398404
崩壊,一進一退,円高2%/年,0.0,1.4680241637200808,1.0
崩壊,一進一退,円高2%/年,0.1,1.3065090467750309,0.8899778893722302
崩壊,一進一退,円高2%/年,0.2,1.1499600006794337,0.7833386051121602
崩壊,一進一退,円高2%/年,0.3,1.0009652512070522,0.6818452147753024
崩壊,一進一退,円高2%/年,0.5,0.7329942686716332,0.4993066781776752
崩壊,一進一退,円高2%/年,1.0,0.27100615078821383,0.18460605587135867
崩壊,一進一退,円安2%/年,0.0,3.2674964584057364,1.0
崩壊,一進一退,円安2%/年,0.1,2.69985761486671,0.8262771357934429
崩壊,一進一退,円安2%/年,0.2,2.205056069150445,0.6748457411416222
崩壊,一進一退,円安2%/年,0.3,1.7795738967172636,0.5446291738554925
崩壊,一進一退,円安2%/年,0.5,1.1164091126084457,0.341671101046322
崩壊,一進一退,円安2%/年,1.0,0.27100615078821383,0.08293999832533623
崩壊,右肩上がり,横ばい,0.0,5.796616609476346,1.0
崩壊,右肩上がり,横ばい,0.1,4.6761199528090645,0.8066981599515334
崩壊,右肩上がり,横ばい,0.2,3.7058309975562245,0.6393093156269656
崩壊,右肩上がり,横ばい,0.3,2.883765587854596,0.49749117151205025
崩壊,右肩上がり,横ばい,0.5,1.6480061549034632,0.2843048395178132
崩壊,右肩上がり,横ばい,1.0,0.27100615078821383,0.046752471147595176
崩壊,右肩上がり,円高2%/年,0.0,3.869867457694359,1.0
崩壊,右肩上がり,円高2%/年,0.1,3.238425833735543,0.8368312013623783
崩壊,右肩上がり,円高2%/年,0.2,2.663001420866138,0.6881376300295143
崩壊,右肩上がり,円高2%/年,0.3,2.1511863147355723,0.5558811350136613
崩壊,右肩上がり,円高2%/年,0.5,1.327603076473307,0.34306163996228545
崩壊,右肩上がり,円高2%/年,1.0,0.27100615078821383,0.07002982757184079
崩壊,右肩上がり,円安2%/年,0.0,8.613467356336358,1.0
崩壊,右肩上がり,円安2%/年,0.1,6.707446178854394,0.7787161547573719
崩壊,右肩上がり,円安2%/年,0.2,5.129326812841308,0.5955008129296504
崩壊,右肩上がり,円安2%/年,0.3,3.8493894740794357,0.4469035888604947
崩壊,右肩上がり,円安2%/年,0.5,2.040926739383006,0.23694601197758433
崩壊,右肩上がり,円安2%/年,1.0,0.27100615078821383,0.03146307283429275
一進一退,崩壊,横ばい,0.0,0.27100615078821383,0.21690853322141423
一進一退,崩壊,横ばい,0.1,0.3327694112801015,0.26634275529092355
一進一退,崩壊,横ばい,0.2,0.403420905312514,0.3228909623921277
一進一退,崩壊,横ばい,0.3,0.48314302303550755,0.38669913637749653
一進一退,崩壊,横ばい,0.5,0.6692803509976415,0.5356801638139252
一進一退,崩壊,横ばい,1.0,1.2494029015980586,1.0
一進一退,崩壊,円高2%/年,0.0,0.18092586666087324,0.1448098659203197
一進一退,崩壊,円高2%/年,0.1,0.23224955946126508,0.18588844252258777
一進一退,崩壊,円高2%/年,0.2,0.29396077051582825,0.23528100514240477
一進一退,崩壊,円高2%/年,0.3,0.36714337229663346,0.29385506614962703
一進一退,崩壊,円高2%/年,0.5,0.5516119719480056,0.44150047293988354
一進一退,崩壊,円高2%/年,1.0,1.2494029015980586,1.0
一進一退,崩壊,円安2%/年,0.0,0.40270088405786847,0.32231467010584874
一進一退,崩壊,円安2%/年,0.1,0.473774175171231,0.3792004761356376
一進一退,崩壊,円安2%/年,0.2,0.5509104573700969,0.44093899307057044
一進一退,崩壊,円安2%/年,0.3,0.6334221434918464,0.5069798882983727
一進一退,崩壊,円安2%/年,0.5,0.8105275082100223,0.6487318919888138
一進一退,崩壊,円安2%/年,1.0,1.2494029015980586,1.0
一進一退,一進一退,横ばい,0.0,2.198931447539137,1.0
一進一退,一進一退,横ばい,0.1,2.108841178948575,0.9590299785419034
一進一退,一進一退,横ばい,0.2,2.0156467629907056,0.9166482953556608
一進一退,一進一退,横ばい,0.3,1.9202037481922565,0.8732440251110104
一進一退,一進一退,横ばい,0.5,1.725727249330859,0.784802660065711
一進一退,一進一退,横ばい,1.0,1.2494029015980586,0.5681863811608532
一進一退,一進一退,円高2%/年,0.0,1.4680241637200808,1.0
一進一退,一進一退,円高2%/年,0.1,1.4653011548611958,0.9981451198650677
一進一退,一進一退,円高2%/年,0.2,1.4576517728130447,0.9929344549201753
一進一退,一進一退,円高2%/年,0.3,1.4452953711052317,0.9845174260910987
一進一退,一進一退,円高2%/年,0.5,1.407448376316874,0.9587365188528618
一進一退,一進一退,円高2%/年,1.0,1.2494029015980586,0.8510778858244268
一進一退,一進一退,円安2%/年,0.0,3.2674964584057364,1.0
一進一退,一進一退,円安2%/年,0.1,3.0153202450462353,0.9228228043795518
一進一退,一進一退,円安2%/年,0.2,2.7728659499763713,0.8486209504047318
一進一退,一進一退,円安2%/年,0.3,2.5410153744105735,0.7776643086708579
一進一退,一進一退,円安2%/年,0.5,2.1116169187668747,0.6462491836325253
一進一退,一進一退,円安2%/年,1.0,1.2494029015980586,0.3823731463836573
一進一退,右肩上がり,横ばい,0.0,5.796616609476346,1.0
一進一退,右肩上がり,横ばい,0.1,5.2144876622147525,0.89957435751229
一進一退,右肩上がり,横ばい,0.2,4.646154615340534,0.8015287068917014
一進一退,右肩上がり,横ばい,0.3,4.099321295676394,0.7071920694176664
一進一退,右肩上がり,横ばい,0.5,3.0944242915891724,0.5338328373365918
一進一退,右肩上がり,横ばい,1.0,1.2494029015980586,0.21554002718681217
一進一退,右肩上がり,円高2%/年,0.0,3.869867457694359,1.0
一進一退,右肩上がり,円高2%/年,0.1,3.618765278916758,0.9351134938023934
一進一退,右肩上がり,円高2%/年,0.2,3.351929326647606,0.8661612738139262
一進一退,右肩上がり,円高2%/年,0.3,3.074943629610931,0.7945862909328067
一進一退,右肩上がり,円高2%/年,0.5,2.511652649885547,0.6490280810242459
一進一退,右肩上がり,円高2%/年,1.0,1.2494029015980586,0.3228541843503975
一進一退,右肩上がり,円安2%/年,0.0,8.613467356336358,1.0
一進一退,右肩上がり,円安2%/年,0.1,7.46475765150943,0.8666379452890248
一進一退,右肩上がり,円安2%/年,0.2,6.406350960511006,0.7437598234813391
一進一退,右肩上がり,円安2%/年,0.3,5.44264328592402,0.6318759984526124
一進一退,右肩上がり,円安2%/年,0.5,3.8041171888614858,0.4416476003781507
一進一退,右肩上がり,円安2%/年,1.0,1.2494029015980586,0.14505225943405423
右肩上がり,崩壊,横ばい,0.0,0.27100615078821383,0.046752471147595176
右肩上がり,崩壊,横ばい,0.1,0.41087992898505077,0.07088271601632953
右肩上がり,崩壊,横ばい,0.2,0.6043085006298164,0.10425193545522556
右肩上がり,崩壊,横ばい,0.3,0.8649001736117768,0.14920775891885493
右肩上がり,崩壊,横ばい,0.5,1.6480061549034632,0.2843048395178132
右肩上がり,崩壊,横ばい,1.0,5.796616609476346,1.0
右肩上がり,崩壊,円高2%/年,0.0,0.18092586666087324,0.03121232243738433
右肩上がり,崩壊,円高2%/年,0.1,0.2878258537813361,0.04965411259230024
右肩上がり,崩壊,円高2%/年,0.2,0.44300032059976957,0.07642394700997644
右肩上がり,崩壊,円高2%/年,0.3,0.6620505202096685,0.11421326694736789
右肩上がり,崩壊,円高2%/年,0.5,1.3684650921048083,0.2360799729048205
右肩上がり,崩壊,円高2%/年,1.0,5.796616609476346,1.0
右肩上がり,崩壊,円安2%/年,0.0,0.40270088405786847,0.06947171275732303
右肩上がり,崩壊,円安2%/年,0.1,0.5828996772365254,0.10055860452864818
右肩上がり,崩壊,円安2%/年,0.2,0.8204322624114557,0.14153640264395057
右肩上がり,崩壊,円安2%/年,0.3,1.1258898580589058,0.19423224510282325
右肩上がり,崩壊,円安2%/年,0.5,1.9811741178003517,0.3417811201385159
右肩上がり,崩壊,円安2%/年,1.0,5.796616609476346,1.0
