Date,US,JP
1971-01-31,95.87999725341797,2100.89990234375
1971-02-28,96.75,2232.419921875
1971-03-31,100.30999755859375,2403.300048828125
1971-04-30,103.94999694824219,2468.179931640625
1971-05-31,99.62999725341797,2456.330078125
1971-06-30,98.69999694824219,2637.35009765625
1971-07-31,95.58000183105469,2661.590087890625
1971-08-31,99.02999877929688,2297.06005859375
1971-09-30,98.33999633789062,2428.25
1971-10-31,94.2300033569336,2278.4599609375
1971-11-30,93.98999786376953,2442.7099609375
1971-12-31,102.08999633789062,2713.739990234375
1972-01-31,103.94000244140625,2856.5
1972-02-29,106.56999969482422,3021.97998046875
1972-03-31,107.19999694824219,3187.6201171875
1972-04-30,107.66999816894531,3187.6201171875
1972-05-31,109.52999877929688,3636.7900390625
1972-06-30,107.13999938964844,3710.699951171875
1972-07-31,107.38999938964844,3913.81005859375
1972-08-31,111.08999633789062,4066.780029296875
1972-09-30,110.55000305175781,4320.6298828125
1972-10-31,111.58000183105469,4537.990234375
1972-11-30,116.66999816894531,4868.9599609375
1972-12-31,118.05000305175781,5207.93994140625
1973-01-31,116.02999877929688,5165.240234375
1973-02-28,111.68000030517578,5121.31982421875
1973-03-31,111.5199966430664,5233.7900390625
1973-04-30,106.97000122070312,4570.330078125
1973-05-31,104.94999694824219,4557.35986328125
1973-06-30,104.26000213623047,4675.1201171875
1973-07-31,108.22000122070312,5041.18017578125
1973-08-31,104.25,4882.08984375
1973-09-30,108.43000030517578,4617.330078125
1973-10-31,108.29000091552734,4699.72998046875
1973-11-30,95.95999908447266,4641.83984375
1973-12-31,97.55000305175781,4306.7998046875
1974-01-31,96.56999969482422,4449.89990234375
1974-02-28,96.22000122070312,4486.580078125
1974-03-31,93.9800033569336,4466.14013671875
1974-04-30,90.30999755859375,4622.35009765625
1974-05-31,87.27999877929688,4750.43994140625
1974-06-30,86.0,4602.8701171875
1974-07-31,79.30999755859375,4492.419921875
1974-08-31,72.1500015258789,4069.679931640625
1974-09-30,63.540000915527344,3950.0
1974-10-31,73.9000015258789,3594.550048828125
1974-11-30,69.97000122070312,3927.489990234375
1974-12-31,68.55999755859375,3836.929931640625
1975-01-31,76.9800033569336,3957.530029296875
1975-02-28,81.58999633789062,4273.39013671875
1975-03-31,83.36000061035156,4484.97021484375
1975-04-30,87.30000305175781,4484.83984375
1975-05-31,91.1500015258789,4407.72998046875
1975-06-30,95.19000244140625,4532.5400390625
1975-07-31,88.75,4333.0400390625
1975-08-31,86.87999725341797,4060.570068359375
1975-09-30,83.87000274658203,3886.389892578125
1975-10-31,89.04000091552734,4352.0498046875
1975-11-30,91.23999786376953,4329.77001953125
1975-12-31,90.19000244140625,4342.06005859375
1976-01-31,100.86000061035156,4656.85986328125
1976-02-29,99.70999908447266,4628.759765625
1976-03-31,102.7699966430664,4596.47998046875
1976-04-30,101.63999938964844,4656.9599609375
1976-05-31,100.18000030517578,4659.4599609375
1976-06-30,104.27999877929688,4852.1298828125
1976-07-31,103.44000244140625,4641.830078125
1976-08-31,102.91000366210938,4738.14013671875
1976-09-30,105.23999786376953,4830.39990234375
1976-10-31,102.9000015258789,4646.27001953125
1976-11-30,102.0999984741211,4506.60009765625
1976-12-31,107.45999908447266,4990.85009765625
1977-01-31,102.02999877929688,4962.47021484375
1977-02-28,99.81999969482422,5041.7099609375
1977-03-31,98.41999816894531,5011.75
1977-04-30,98.44000244140625,5091.9599609375
1977-05-31,96.12000274658203,4986.2998046875
1977-06-30,100.4800033569336,4989.08984375
1977-07-31,98.8499984741211,4849.35009765625
1977-08-31,96.7699966430664,5242.93017578125
1977-09-30,96.52999877929688,5264.740234375
1977-10-31,92.33999633789062,5120.52001953125
1977-11-30,94.83000183105469,4849.56005859375
1977-12-31,95.0999984741211,4863.009765625
1978-01-31,89.25,5111.669921875
1978-02-28,87.04000091552734,5222.66015625
1978-03-31,89.20999908447266,5447.759765625
1978-04-30,96.83000183105469,5534.18017578125
1978-05-31,97.23999786376953,5469.77001953125
1978-06-30,95.52999877929688,5543.14013671875
1978-07-31,100.68000030517578,5601.33984375
1978-08-31,103.29000091552734,5585.41015625
1978-09-30,102.54000091552734,5772.35986328125
1978-10-31,93.1500015258789,5902.93017578125
1978-11-30,94.69999694824219,5967.43017578125
1978-12-31,96.11000061035156,6001.85009765625
1979-01-31,99.93000030517578,6212.77978515625
1979-02-28,96.27999877929688,6072.8798828125
1979-03-31,101.58999633789062,6133.97021484375
1979-04-30,101.76000213623047,6223.14013671875
1979-05-31,99.08000183105469,6252.58984375
1979-06-30,102.91000366210938,6247.259765625
1979-07-31,103.80999755859375,6313.77001953125
1979-08-31,109.31999969482422,6436.1298828125
1979-09-30,109.31999969482422,6568.60986328125
1979-10-31,101.81999969482422,6444.1298828125
1979-11-30,106.16000366210938,6450.18994140625
1979-12-31,107.94000244140625,6569.47021484375
1980-01-31,114.16000366210938,6768.16015625
1980-02-29,113.66000366210938,6764.89013671875
1980-03-31,102.08999633789062,6556.18994140625
1980-04-30,106.29000091552734,6865.56005859375
1980-05-31,111.23999786376953,6855.7001953125
1980-06-30,114.23999786376953,6870.7001953125
1980-07-31,121.66999816894531,6819.6298828125
1980-08-31,122.37999725341797,6914.080078125
1980-09-30,125.45999908447266,7076.4599609375
1980-10-31,127.47000122070312,7150.75
1980-11-30,140.52000427246094,7123.6201171875
1980-12-31,135.75999450683594,7063.1298828125
