Date,US,JP,WORLD,UST,AGG
2008-04-30,98.72122192382812,,37.66692352294922,56.89570236206055,59.52631378173828
2008-05-31,100.2135238647461,,37.99230194091797,55.88441848754883,58.77316665649414
2008-06-30,91.83807373046875,,34.95772171020508,56.524776458740234,58.664451599121094
2008-07-31,91.01287841796875,,33.854251861572266,56.93208694458008,58.89561080932617
2008-08-31,92.41930389404297,,33.28836441040039,57.80121994018555,59.332584381103516
2008-09-30,83.71586608886719,,29.206884384155273,57.72014617919922,58.28850173950195
2008-10-31,69.88713073730469,,23.830949783325195,57.22209930419922,56.95888137817383
2008-11-30,65.02250671386719,,21.744243621826172,61.658966064453125,58.68149948120117
2008-12-31,65.6595230102539,,22.93260955810547,64.83818054199219,62.59107208251953
2009-01-31,60.267921447753906,53.85968627929689,20.322452545166016,62.3178596496582,61.34767532348633
2009-02-28,53.792205810546875,51.20975952148438,18.348913192749023,61.85984802246094,60.70023727416992
2009-03-31,58.2736701965332,52.799713134765625,20.039506912231445,63.909732818603516,61.369773864746094
2009-04-30,64.06292724609375,57.37083129882813,22.600147247314453,62.155235290527344,61.68594741821289
2009-05-31,67.80763244628906,61.08072509765626,24.96980094909668,60.86409378051758,62.123714447021484
2009-06-30,67.76322937011719,63.333160400390625,24.5908260345459,60.52501678466797,62.385074615478516
2009-07-31,72.81875610351562,63.333160400390625,26.90803337097168,61.02840042114258,63.176788330078125
2009-08-31,75.50863647460938,64.52561645507812,27.706579208374023,61.494327545166016,63.94776153564453
2009-09-30,78.18594360351562,61.01447143554688,29.05411148071289,62.18574905395508,64.70757293701172
2009-10-31,76.68283081054688,60.15325317382813,28.269832611083984,62.099979400634766,64.85108947753906
2009-11-30,81.40702819824219,56.64210815429688,29.795616149902344,63.35258865356445,65.68526458740234
2009-12-31,82.96195983886719,61.01447143554688,30.353992462158203,60.563297271728516,64.4496078491211
2010-01-31,79.94690704345703,60.68323974609376,28.746206283569336,61.998775482177734,65.36146545410156
2010-02-28,82.4408187866211,60.15325317382813,29.370656967163086,62.20454788208008,65.49115753173828
2010-03-31,87.45980834960938,66.51307373046875,31.229650497436523,61.5471305847168,65.48674011230469
2010-04-30,88.81280517578125,66.8443115234375,31.157875061035156,62.56434631347656,66.12406158447266
2010-05-31,81.75623321533203,59.75576171875001,28.236597061157227,64.39947509765625,66.83988952636719
2010-06-30,77.52604675292969,57.172094726562506,27.23188591003418,66.36249542236328,68.02207946777344
2010-07-31,82.82117462158203,56.90708618164063,29.774011611938477,66.96620178222656,68.60350036621094
2010-08-31,79.0958251953125,53.66094970703125,28.499330520629883,69.21360778808594,69.48626708984375
2010-09-30,86.17925262451172,55.714630126953125,31.294940948486328,69.21146392822266,69.49137115478516
2010-10-31,89.4714584350586,54.389666748046885,32.468238830566406,69.20655059814453,69.59719848632812
2010-11-30,89.4714584350586,58.03331298828126,31.758464813232422,68.58499145507812,69.01605224609375
2010-12-31,95.45284271240234,60.48449096679688,34.23313903808594,66.23186492919922,68.5499496459961
2011-01-31,97.67691040039062,61.345721435546885,34.59879684448242,66.21778106689453,68.4916000366211
2011-02-28,101.06991577148438,63.92939453125001,35.67383575439453,66.0797348022461,68.69049072265625
2011-03-31,101.08213806152344,58.960791015625006,35.36669158935547,65.9776611328125,68.53731536865234
2011-04-30,104.0095443725586,57.83457031250001,37.07065963745117,67.1925048828125,69.61166381835938
2011-05-31,102.8431625366211,57.23834228515625,36.34666061401367,68.87601470947266,70.4747085571289
2011-06-30,101.10820770263672,57.90081787109376,35.70657730102539,68.5285873413086,70.16097259521484
2011-07-31,99.08558654785156,56.04588012695313,34.89253234863281,70.70061492919922,71.3443374633789
2011-08-31,93.63829040527344,51.34226074218751,32.32462692260742,73.98921203613281,72.42910766601562
2011-09-30,87.13786315917969,51.14351501464845,28.950084686279297,75.64434814453125,72.98721313476562
2011-10-31,96.64868927001953,51.474755859375,32.228431701660156,74.67118072509766,73.07959747314453
2011-11-30,96.25591278076172,49.023583984375,31.858413696289062,75.1041488647461,72.83783721923828
2011-12-31,97.26165771484375,49.023583984375,31.55565071105957,76.59700775146484,73.82604217529297
2012-01-31,101.77210998535156,50.613534545898446,33.28421401977539,77.25724792480469,74.36173248291016
2012-02-29,106.1895751953125,56.11212158203125,34.93048095703125,76.40754699707031,74.35161590576172
2012-03-31,109.60505676269531,57.90081787109376,35.31958770751953,75.1917495727539,73.92570495605469
2012-04-30,108.87335205078125,54.65466308593751,34.915496826171875,77.07836151123047,74.59541320800781
2012-05-31,102.33488464355469,48.69233398437501,31.67537498474121,79.29022216796875,75.39970397949219
2012-06-30,106.48771667480469,52.53472900390626,33.28205490112305,78.96170806884766,75.38479614257812
2012-07-31,107.74746704101562,49.15606384277345,33.555152893066406,80.06805419921875,76.41162872314453
2012-08-31,110.44681549072266,48.824832153320315,34.48829650878906,79.9741439819336,76.4116439819336
2012-09-30,113.2467269897461,49.752301025390636,35.42144775390625,79.69563293457031,76.61531066894531
2012-10-31,111.18582916259766,50.01729431152345,35.2393684387207,79.38001251220703,76.57913208007812
2012-11-30,111.81507110595703,52.60097045898438,35.80076599121094,80.15728759765625,76.78641510009766
2012-12-31,112.81411743164062,58.03331298828126,36.84046936035156,79.40348052978516,76.59811401367188
2013-01-31,118.58908081054688,63.39940185546876,38.22733688354492,78.376708984375,76.12230682373047
2013-02-28,120.10211944580078,65.65183715820312,38.18903350830078,79.26434326171875,76.57209777832031
2013-03-31,124.66258239746094,70.55419921875,38.88631057739258,79.49170684814453,76.64757537841797
2013-04-30,127.05766296386719,79.16644897460938,39.989681243896484,80.7041244506836,77.38994598388672
2013-05-31,130.0574951171875,79.49769287109376,39.8364372253418,78.19825744628906,75.84129333496094
2013-06-30,128.32186889648438,77.37775878906251,38.80001449584961,76.20716857910156,74.65406036376953
2013-07-31,134.95318603515625,76.954345703125,40.577056884765625,75.93843841552734,74.85494232177734
2013-08-31,130.90562438964844,75.203857421875,39.64585494995117,74.85821533203125,74.23634338378906
2013-09-30,135.0482940673828,81.86916503906252,41.84193420410156,76.24021911621094,75.06829833984375
2013-10-31,141.3019256591797,81.93651733398438,43.49481201171875,76.83320617675781,75.6933364868164
2013-11-30,145.4898223876953,86.31275024414064,44.1699333190918,76.15990447998047,75.50357818603516
2013-12-31,149.26187133789062,89.40978393554688,45.08390808105469,74.56768798828125,75.08321380615234
2014-01-31,144.00059509277344,83.68700561523438,42.994808197021484,76.85192108154297,76.2402114868164
2014-02-28,150.55490112304688,83.08107910156251,45.232566833496094,77.1266098022461,76.52716827392578
2014-03-31,151.8038787841797,83.28304443359377,45.49077224731445,76.69387817382812,76.41388702392578
2014-04-30,152.85910034179688,80.65731811523438,46.03065490722656,77.2754898071289,77.04170989990234
2014-05-31,156.40640258789062,83.08107910156251,46.95393371582031,78.68601989746094,77.95011901855469
2014-06-30,159.63536071777344,87.65929565429688,47.80765151977539,78.51549530029297,77.90519714355469
2014-07-31,157.4903106689453,89.49347534179688,47.1174430847168,78.34233856201172,77.70977783203125
2014-08-31,163.70541381835938,88.60399780273438,48.33124923706055,79.81543731689453,78.60310363769531
2014-09-30,161.44688415527344,92.5723876953125,46.72869873046875,78.97774505615234,78.11984252929688
2014-10-31,165.2490692138672,93.25657958984377,47.29196548461914,80.19108581542969,78.95110321044922
2014-11-30,169.78880310058594,98.59334106445314,47.94252395629883,81.22445678710938,79.4698486328125
2014-12-31,169.3582000732422,98.66176147460939,46.812191009521484,81.32960510253906,79.5871810913086
2015-01-31,164.3402099609375,99.00386810302734,46.1960334777832,84.82862854003906,81.22052764892578
2015-02-28,173.5768585205078,106.73533630371095,48.74068832397461,82.73187255859375,80.4937973022461
2015-03-31,170.85072326660156,108.7879409790039,48.02851486206055,83.44009399414062,80.79536437988281
2015-04-30,172.53086853027344,112.2089309692383,49.40486526489258,82.91191864013672,80.53463745117188
2015-05-31,174.74891662597656,117.81937408447266,49.40486526489258,82.5667495727539,80.18235778808594
2015-06-30,171.1994171142578,115.01415252685547,48.131046295166016,81.22019958496094,79.31903076171875
2015-07-31,175.06668090820312,134.66212463378906,48.527732849121094,82.45339965820312,80.0029067993164
2015-08-31,164.3963623046875,124.60435485839845,45.22455978393555,82.51861572265625,79.7342300415039
2015-09-30,160.20164489746094,115.42467498779297,43.67010498046875,83.82173919677734,80.38118743896484
2015-10-31,173.82838439941406,127.47800445556642,47.01378631591797,83.28784942626953,80.4363021850586
2015-11-30,174.4637451171875,129.393798828125,46.76280212402344,82.93157196044922,80.12335968017578
2015-12-31,171.4485626220703,126.83943176269531,45.77809143066406,82.55593872070312,79.96976470947266
2016-01-31,162.91270446777344,117.89920806884766,43.3505973815918,85.30803680419922,80.9618911743164
2016-02-29,162.7781524658203,106.48446655273439,42.809326171875,86.57568359375,81.68009185791016
2016-03-31,173.72750854492188,111.5133285522461,45.97492218017578,86.51849365234375,82.39454650878906
2016-04-30,174.41224670410156,110.87471771240234,46.589988708496094,86.3834457397461,82.60456848144531
2016-05-31,177.37928771972656,114.06768035888673,46.745819091796875,86.29768371582031,82.61581420898438
2016-06-30,177.9958038330078,103.371337890625,46.72258758544922,88.96219635009766,84.21452331542969
2016-07-31,184.48756408691406,109.5607147216797,48.484127044677734,89.18143463134766,84.6730728149414
2016-08-31,184.7085418701172,110.21382141113281,48.65031433105469,88.27946472167969,84.49066162109375
2016-09-30,184.7191925048828,110.45874786376955,49.10731887817383,88.48905944824219,84.53426361083984
2016-10-31,181.51675415039062,116.66336822509766,48.168392181396484,87.16648864746094,83.84349822998047
2016-11-30,188.2035369873047,122.78633880615234,48.66693878173828,83.48175048828125,81.69248962402344
2016-12-31,192.01873779296875,127.03165435791016,49.621917724609375,83.38278198242188,81.90008544921875
2017-01-31,195.45486450195312,127.43981933593751,51.064369201660156,83.56574249267578,82.07439422607422
2017-02-28,203.13455200195312,128.66445922851562,52.34748458862305,84.17044067382812,82.60445404052734
2017-03-31,203.38848876953125,127.76639556884767,53.05192947387695,84.23825073242188,82.55884552001953
2017-04-30,205.40733337402344,129.48085021972656,53.90734100341797,85.17230224609375,83.30769348144531
2017-05-31,208.30621337890625,132.41989135742188,55.09819412231445,85.87647247314453,83.88008880615234
2017-06-30,209.6341552734375,136.33860778808594,55.531883239746094,85.43885040283203,83.86473846435547
2017-07-31,213.9430389404297,136.9600830078125,57.04970932006836,85.75910186767578,84.144775390625
2017-08-31,214.56724548339844,136.9600830078125,57.278656005859375,87.0091323852539,84.93689727783203
2017-09-30,218.8906707763672,142.84991455078125,58.35552978515625,85.75482177734375,84.45138549804688
2017-10-31,224.04861450195312,150.6477813720703,59.610511779785156,85.5927505493164,84.5340576171875
2017-11-30,230.89683532714844,153.136474609375,60.81458282470703,85.35375213623047,84.40870666503906
2017-12-31,233.6972198486328,155.12741088867188,61.696598052978516,85.51139831542969,84.80975341796875
2018-01-31,246.86810302734375,156.95240783691406,65.21406555175781,83.67273712158203,83.85565948486328
2018-02-28,237.89195251464844,151.14552307128906,62.295711517333984,82.89228057861328,83.00973510742188
2018-03-31,231.37115478515625,148.0761260986328,61.36284255981445,83.85031127929688,83.56686401367188
2018-04-30,232.5669708251953,153.3853302001953,61.61103057861328,82.77991485595703,82.78044128417969
2018-05-31,238.22036743164062,150.730712890625,61.902015686035156,83.5962142944336,83.3283462524414
2018-06-30,239.59048461914062,149.48641967773438,61.53969192504883,83.76128387451172,83.41385650634766
2018-07-31,248.46641540527344,151.4579315185547,63.42603302001953,83.31926727294922,83.38949584960938
2018-08-31,256.3974914550781,149.85385131835938,63.86732864379883,84.16412353515625,83.8631591796875
2018-09-30,257.9217529296875,158.3807373046875,64.25672149658203,83.14993286132812,83.34342956542969
2018-10-31,240.09832763671875,143.3531494140625,59.48028564453125,82.89787292480469,82.80663299560547
2018-11-30,244.55189514160156,145.21047973632812,60.42345428466797,84.00048065185547,83.44559478759766
2018-12-31,223.01956176757812,130.60499572753906,56.06684875488281,86.35610961914062,85.09873962402344
2019-01-31,240.87574768066406,136.8524627685547,60.57597351074219,86.91963195800781,85.87390899658203
2019-02-28,248.6839599609375,140.31385803222656,62.07026290893555,86.4628677368164,85.77618408203125
2019-03-31,253.185302734375,140.2294464111328,63.04899597167969,88.75857543945312,87.59683990478516
2019-04-30,263.52850341796875,142.59335327148438,65.2074203491211,88.29835510253906,87.42135620117188
2019-05-31,246.72299194335938,133.4754638671875,61.24882125854492,90.99020385742188,89.09182739257812
2019-06-30,263.89166259765625,137.1901397705078,65.22415161132812,92.09767150878906,90.07061004638672
2019-07-31,267.8813781738281,138.3544158935547,65.26838684082031,92.13291931152344,90.23438262939453
2019-08-31,263.39617919921875,133.78570556640625,63.82603073120117,95.77367401123047,92.745361328125
2019-09-30,268.5213623046875,141.63011169433594,65.25953674316406,94.63773345947266,92.17768096923828
2019-10-31,274.4568176269531,148.61245727539062,67.04698944091797,94.8155288696289,92.36954498291016
2019-11-30,284.3916931152344,151.45713806152344,68.61321258544922,94.16398620605469,92.33760070800781
2019-12-31,292.6548767089844,153.6984100341797,70.97484588623047,93.29003143310547,92.29444122314453
2020-01-31,292.5367126464844,150.59510803222656,69.95390319824219,96.52330017089844,94.16706848144531
2020-02-29,269.3777770996094,134.99252319335938,64.7147445678711,99.38203430175781,95.65934753417969
2020-03-31,235.74026489257812,126.9757308959961,56.03655242919922,103.08171081542969,95.1553726196289
2020-04-30,265.6754150390625,132.1479034423828,61.54438018798828,103.3655014038086,96.79116821289062
2020-05-31,278.33349609375,141.37147521972656,64.67890930175781,103.70394134521484,97.4421615600586
2020-06-30,283.2696228027344,140.68186950683594,66.58084106445312,103.74822235107422,98.08439636230469
2020-07-31,299.95208740234375,135.70718383789062,70.1483154296875,104.63436889648438,99.39202880859375
2020-08-31,320.8876953125,146.09205627441406,74.3750991821289,103.61959075927734,98.57345581054688
2020-09-30,308.87249755859375,148.38026428222656,72.180419921875,103.95921325683594,98.47753143310547
2020-10-31,301.1711730957031,144.419921875,70.57280731201172,102.52373504638672,97.9277572631836
2020-11-30,333.93170166015625,159.99720764160156,78.87281036376953,102.87064361572266,99.10945892333984
2020-12-31,346.30328369140625,165.0136413574219,82.56983184814453,102.62537384033203,99.1944351196289
2021-01-31,342.7742614746094,165.2776336669922,82.31497192382812,101.50455474853516,98.45585632324219
2021-02-28,352.3053283691406,170.64608764648438,84.19902038574219,99.1056900024414,96.9611587524414
2021-03-31,368.2996826171875,180.59088134765628,86.60184478759766,96.74132537841797,95.84971618652344
2021-04-30,387.7865905761719,175.3984832763672,90.2789077758789,97.7099609375,96.55130767822266
2021-05-31,390.3328857421875,177.59864807128906,91.60773468017578,98.12508392333984,96.74816131591797
2021-06-30,399.0870361328125,179.53482055664065,92.76277923583984,99.12848663330078,97.54914093017578
2021-07-31,408.82977294921875,175.91712951660156,93.60617065429688,101.10138702392578,98.6383285522461
2021-08-31,420.99639892578125,181.47616577148438,95.64128112792969,100.70258331298828,98.440673828125
2021-09-30,401.375732421875,189.63543701171875,91.59855651855469,99.09427642822266,97.53778076171875
2021-10-31,429.5377197265625,186.67657470703125,96.53968048095703,98.65538787841797,97.529296875
2021-11-30,426.0863952636719,180.04159545898438,94.31205749511719,99.73281860351562,97.79342651367188
2021-12-31,445.7919616699219,185.91445922851562,97.97877502441406,99.21018981933594,97.44261169433594
2022-01-31,422.2803955078125,176.94825744628906,93.52350616455078,97.1137924194336,95.49510955810547
2022-02-28,409.81585693359375,176.36544799804688,90.66138458251953,96.8184814453125,94.40105438232422
2022-03-31,425.2209167480469,183.71774291992188,92.4212646484375,92.88675689697266,91.74635314941406
2022-04-30,387.8998107910156,179.32431030273438,84.96495056152344,88.959228515625,88.25460052490234
2022-05-31,388.7753601074219,180.66921997070312,85.34471130371094,89.50938415527344,88.92583465576172
2022-06-30,356.7167663574219,177.0379180908203,78.4258804321289,88.73652648925781,87.5447998046875
2022-07-31,389.5658874511719,183.5655975341797,83.96963500976562,91.36441802978516,89.7667465209961
2022-08-31,373.67083740234375,187.7448272705078,80.30496215820312,87.8433609008789,87.0357894897461
2022-09-30,339.1265563964844,175.574462890625,72.7605972290039,83.68403625488281,83.42813873291016
2022-10-31,366.68914794921875,184.34632873535156,77.37882995605469,82.46722412109375,82.36151123046875
2022-11-30,387.07403564453125,189.8114776611328,83.82939910888672,85.44615173339844,85.49823760986328
2022-12-31,364.76763916015625,181.3611297607422,79.96483612060547,84.1746826171875,84.75398254394531
2023-01-31,387.7068786621094,189.3981475830078,85.96597290039062,87.1890640258789,87.57649230957031
2023-02-28,377.95892333984375,191.05149841308594,83.11143493652344,84.3373031616211,85.24199676513672
2023-03-31,391.9727783203125,194.63369750976565,85.88118743896484,87.4755630493164,87.49347686767578
2023-04-30,398.23455810546875,199.73147583007815,87.2283706665039,88.18827819824219,87.9969711303711
2023-05-31,400.0728454589844,206.7122039794922,86.31454467773438,86.91983795166016,86.99002838134766
2023-06-30,425.9974670410156,222.23513793945315,91.3072509765625,85.82878112792969,86.66968536376953
2023-07-31,439.9418029785156,225.5689239501953,94.59065246582031,85.26944732666016,86.65642547607422
2023-08-31,432.7918395996094,226.36746215820312,91.84019470214844,84.64622497558594,86.10931396484375
2023-09-30,412.2626647949219,228.05853271484378,87.90962982177734,81.98932647705078,83.87945556640625
2023-10-31,403.31292724609375,221.38821411132812,85.67310333251953,80.40878295898438,82.56198120117188
2023-11-30,440.1531066894531,233.1787109375,93.28679656982422,84.07097625732422,86.35399627685547
2023-12-31,460.2483825683594,232.4740905761719,97.77653503417969,87.24236297607422,89.54705047607422
2024-01-31,467.5784912109375,250.84091186523438,98.0455551147461,87.30572509765625,89.41172790527344
2024-02-29,491.97998046875,263.52386474609375,102.46504211425781,85.4874496459961,88.09326934814453
2024-03-31,508.0687561035156,274.6567077636719,105.80847930908203,86.1142578125,88.88831329345703
2024-04-30,487.5835266113281,271.791259765625,102.05191802978516,83.41907501220703,86.68545532226562
2024-05-31,512.2454223632812,277.14630126953125,106.72120666503906,84.92076110839844,88.13272857666016
2024-06-30,530.3174438476562,278.8843688964844,108.89598083496094,85.95421600341797,88.91313171386719
2024-07-31,536.7391967773438,277.8494873046875,110.57205200195312,88.44451141357422,91.0640869140625
2024-08-31,549.2803955078125,269.2759704589844,113.33320617675781,89.63477325439453,92.39495086669922
2024-09-30,560.8178100585938,265.06103515625,115.8230972290039,90.87397766113281,93.62640380859375
2024-10-31,555.8133544921875,269.9465026855469,113.4010238647461,87.79573059082031,91.26818084716797
2024-11-30,588.9584350585938,268.6532897949219,117.973876953125,88.69207000732422,92.28216552734375
2024-12-31,574.7880249023438,279.62164306640625,114.83788299560547,86.68904876708984,90.7194595336914
2025-01-31,590.2247314453125,280.1964111328125,118.44427490234375,87.2235107421875,91.18757629394531
2025-02-28,582.73193359375,269.5154113769531,118.0924301147461,89.66552734375,93.22777557373047
2025-03-31,550.2625732421875,270.5212707519531,113.75302124023438,89.9721450805664,93.20328521728516
2025-04-30,545.4916381835938,271.527099609375,114.33943176269531,90.92234802246094,93.60504913330078
2025-05-31,579.7730102539062,284.7466125488281,120.84854125976562,89.79527282714844,93.03694915771484
2025-06-30,609.5654296875,290.2547607421875,126.6571044921875,91.23371887207031,94.39097595214844
2025-07-31,623.6046142578125,299.8394775390625,127.99655151367188,90.69187927246094,94.14183807373047
2025-08-31,636.400634765625,313.5755615234375,131.42398071289062,92.18663024902344,95.262451171875
2025-09-30,659.0695190429688,322.111572265625,136.15147399902344,92.786865234375,96.33584594726562
2025-10-31,674.780029296875,342.6176147460938,139.27357482910156,93.44682312011719,96.92874908447266
2025-11-30,676.0958251953125,347.52337646484375,139.33265686035156,94.37020111083984,97.51586151123047
2025-12-31,676.635009765625,351.15362548828125,140.5767059326172,93.65187072753906,97.24380493164062
2026-01-31,686.6071166992188,367.34259033203125,144.56082153320312,93.43761444091797,97.48722076416016
2026-02-28,680.6734619140625,405.3131103515625,146.42868041992188,95.7455062866211,99.04517364501953
2026-03-31,647.0621337890625,364.3991470336914,137.47683715820312,93.52400970458984,97.26776123046875
2026-04-30,715.0377197265625,386.6712646484375,150.5618133544922,93.3834228515625,97.43193817138672
2026-05-31,752.6671142578125,410.0226135253906,157.51663208007812,93.36566925048828,97.718017578125
2026-06-30,744.9202270507812,415.61517333984375,156.97000122070312,93.6002426147461,97.96646118164062
2026-07-31,745.1796264648438,417.20001220703125,156.42999267578125,92.30038452148438,96.69630432128906
2026-08-31,765.1499633789062,433.5,160.67999267578125,92.40799713134766,97.072998046875
2026-09-30,771.3499755859375,430.29998779296875,161.0500030517578,90.0,95.12000274658203
