,開始,年率リターン,年率リスク,シャープ,最大下落,最長含み損(年),最悪12ヶ月,10年_最悪,10年_中央,10年_最良,10年_マイナス率,15年_最悪,15年_中央,15年_最良,15年_マイナス率,20年_最悪,20年_中央,20年_最良,20年_マイナス率
US,1971-02,0.06617858892173523,0.18523905132642876,0.43422738434351443,-0.6144853880913085,11.916666666666666,-0.5000559620445546,-0.06907953721066347,0.06400813248530646,0.18948491739039294,0.14571948998178508,-0.011456675803775634,0.06374250865077105,0.19199783844020996,0.014314928425357873,0.013906647162807085,0.05932883348371837,0.11302131246216779,0.0
US_H,2002-04,0.05666728453484593,0.1476676695797685,0.4308875839517869,-0.5427286792283762,5.916666666666667,-0.457704158915776,0.0019065045861635856,0.07602234587966067,0.13805942085098308,0.0,0.035960225104474636,0.060496689208367635,0.11984097047011691,0.0,0.045705910119634374,0.059114888142520666,0.06878572141458242,0.0
JP,1971-02,0.06399022518202746,0.19022960747726794,0.41652566374166566,-0.8055184245100833,34.083333333333336,-0.4875630523333054,-0.0935797776744554,0.04824883505115912,0.19470213780278514,0.3460837887067395,-0.08017904471577347,0.03860906876793141,0.16701433981498712,0.3292433537832311,-0.06952965524142754,0.017571413996548234,0.13148547913142375,0.31934731934731936
US50JP50,1971-02,0.0717370123744887,0.15977307237714103,0.5083597920465661,-0.5965669500959259,7.166666666666667,-0.4772077976841702,-0.06176342867920489,0.054455324941948643,0.17811635619637084,0.09836065573770492,-0.023555986497828203,0.059543809153278685,0.17035662790861641,0.06952965235173825,-0.010809401014122446,0.04812816361801469,0.09695297110189871,0.055944055944055944
US80JP20,1971-02,0.07002081444767905,0.16857128729632245,0.480980225754468,-0.6063500877414985,8.5,-0.48429239519523115,-0.06527720659271777,0.0671376139506624,0.1852838644323338,0.0965391621129326,-0.010173452913376242,0.06019636824478446,0.1837570971162366,0.03067484662576687,0.013113181227228689,0.05420064933474837,0.10801125489526339,0.0
