配分,方法,窓の数,買いっぱなしに勝った割合,シャープ差_中央,シャープ差_最小,シャープ差_最大
US50JP50,annual,549,0.3989071038251366,-0.00471324327171474,-0.22752503579644656,0.07911399327763857
US50JP50,quarterly,549,0.3879781420765027,-0.007754878232539175,-0.2537796285827334,0.055198791969638505
US50JP50,monthly,549,0.41530054644808745,-0.005401696388024679,-0.25560344241280114,0.06120201737061959
US50JP50,band,549,0.36065573770491804,-0.00709033222072919,-0.23747849999234305,0.06596072243007173
US80JP20,annual,549,0.45901639344262296,-0.0008511697203488211,-0.1267354814012784,0.044010683426695785
US80JP20,quarterly,549,0.40255009107468126,-0.0019658360364830374,-0.15164177130805503,0.03529389562421931
US80JP20,monthly,549,0.44626593806921677,-0.000900359619123825,-0.14565246554156133,0.039198944198967994
US80JP20,band,549,0.3296903460837887,-0.0009505324885532573,-0.12843374894696594,0.04418536784162516
